,nazwa,miasto,firma,liczba_graczy,czas_gry,kategoria,poziom_trudnosci,liczba_ocen,miejsce_w_polsce,srednia_ocena,obsluga_ocena,klimat_ocena,trudnosc_wg_graczy,podstawowe1,podstawowe2,podstawowe3,podstawowe4,podstawowe5,podstawowe6,podstawowe7,podstawowe8,podstawowe9,podstawowe10,podstawowe11,podstawowe12,podstawowe13,podstawowe14,podstawowe15,podstawowe16,podstawowe17,podstawowe18,podstawowe19,podstawowe20,bezpieczeństwo1,bezpieczeństwo2,bezpieczeństwo3,bezpieczeństwo4,bezpieczeństwo5,bezpieczeństwo6,bezpieczeństwo7,bezpieczeństwo8,bezpieczeństwo9,bezpieczeństwo10,bezpieczeństwo11,bezpieczeństwo12,bezpieczeństwo13,jezyki1,jezyki2,jezyki3,jezyki4
148,Chata Wiedźmy,Warszawa,Escape Room Majdańska 18 Warszawa,2-4 osoby,60 minut,Przygodowy,śr. zaawansowani,364 opinie,Polska: 150. miejsce,NAN,NAN,NAN,NAN,Przyjazny dzieciom,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Drzwi zawsze otwarte,Oświetlenie awaryjne,Tylko niskie napięcie w zasięgu gracza,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,angielski,polski,NAN,NAN
149,Szaman,Poznań,EXODUS,1-6 osób,60 minut,Przygodowy,śr. zaawansowani,32 opinie,Polska: 149. miejsce,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
150,Wybudzenie,Szczyrk,Chata Tajemnic,1-2 osoby,60 minut,Fabularny,doświadczony,10 opinii,Polska: 151. miejsce,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
151,Pokój hotelowy - miejsce zabójstwa,Warszawa,Escape Room Majdańska 18 Warszawa,2-4 osoby,75 minut,Kryminalny,doświadczony,142 opinie,Polska: 152. miejsce,NAN,NAN,NAN,NAN,Pokój eliminacyjny Poland Escape,Od 16 lat,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Drzwi zawsze otwarte,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,polski,NAN,NAN,NAN
152,Sex Room,Warszawa,Black Cat Escape Room,2-10 osób,60 minut,Fabularny,początkujący,1 155 opinii,Polska: 153. miejsce,8 .8,"Obsługa:
9,9/10","Klimat:
9,5/10","Trudność wg. graczy:
Średni",Przyjazny niepełnosprawnym,Przyjazny zwierzętom,Klimatyzowany,Od 16 lat,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Drzwi zawsze otwarte,Przycisk bezpieczeństwa,Oświetlenie awaryjne,Tylko niskie napięcie w zasięgu gracza,System awaryjnego otwierania drzwi,Dostępny żel antybakteryjny,Dostępne rekawiczki,Dezynfekowane pokoje,Ograniczony kontakt z innymi grupami,NAN,NAN,angielski,polski,rosyjski,NAN
153,Rozdział I: Szepty,Łódź,Forest Escape,2-6 osób,120 minut,Thriller,śr. zaawansowani,29 opinii,Polska: 154. miejsce,NAN,NAN,NAN,NAN,Od 18 lat,Nie dla epileptyków,Nie dla kobiet w ciąży,Nieodpowiednie dla osób z klaustrofobią,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen kontakt z mistrzem gry,Klucz bezpieczeństwa,System awaryjnego otwierania drzwi,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,polski,NAN,NAN,NAN
154,Se7en,Szczecin,ESC Room,2-6 osób,60 minut,Thriller,doświadczony,159 opinii,Polska: 155. miejsce,9 .6,"Obsługa:
9,9/10","Klimat:
9,9/10","Trudność wg. graczy:
Trudny",Możliwość płatności kartą,Od 16 lat,Półmrok w pokoju,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Drzwi zawsze otwarte,Dostępny żel antybakteryjny,Dezynfekowane pokoje,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,angielski,polski,NAN,NAN
155,Skarbówka - Tajemnicza Zbrodnia,Wrocław,Exit19.pl,2-7 osób,70 minut,Fabularny,śr. zaawansowani,137 opinii,Polska: 156. miejsce,9 .2,"Obsługa:
9,8/10","Klimat:
9,6/10","Trudność wg. graczy:
Trudny",Klimatyzowany,Możliwość płatności kartą,Od 16 lat,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Drzwi zawsze otwarte,Przycisk bezpieczeństwa,Tylko niskie napięcie w zasięgu gracza,System awaryjnego otwierania drzwi,NAN,NAN,NAN,NAN,NAN,NAN,NAN,angielski,polski,NAN,NAN
156,Zdążyć przed patologiem,Sopot,Questrooms,2-5 osób,60 minut,Kryminalny,doświadczony,88 opinii,Polska: 158. miejsce,NAN,NAN,NAN,NAN,Przyjazny dzieciom,Przyjazny zwierzętom,Gra bez aktora,Możliwość płatności kartą,Nieodpowiednie dla osób z klaustrofobią,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Drzwi zawsze otwarte,Klucz bezpieczeństwa,Przycisk bezpieczeństwa,Oświetlenie awaryjne,Tylko niskie napięcie w zasięgu gracza,System awaryjnego otwierania drzwi,Dostępny żel antybakteryjny,Dostępne rekawiczki,Dezynfekowane pokoje,NAN,NAN,polski,NAN,NAN,NAN
157,Prosektorium,Wrocław,Secret Room & Brain Code,2-6 osób,90 minut,Horror,początkujący,260 opinii,Polska: 157. miejsce,9 .1,"Obsługa:
9,7/10","Klimat:
9,5/10","Trudność wg. graczy:
Średni",Przyjazny niepełnosprawnym,Od 16 lat,Nie dla epileptyków,Nie dla kobiet w ciąży,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Klucz bezpieczeństwa,Tylko niskie napięcie w zasięgu gracza,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,angielski,polski,NAN,NAN
158,Morderstwo w Orient Expressie,Chorzów,LOFTescape,2-5 osób,60 minut,Kryminalny,początkujący,271 opinii,Polska: 159. miejsce,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
159,Sacramentum,Bydgoszcz,Fabryka Czasu,2-5 osób,75 minut,Horror,doświadczony,20 opinii,Polska: 160. miejsce,NAN,NAN,NAN,NAN,Od 16 lat,Nie dla epileptyków,Nie dla kobiet w ciąży,Nieodpowiednie dla osób z klaustrofobią,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,polski,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
160,W gąszczu tajemnic,Katowice,Quest Cage Centrum,2-4 osoby,60 minut,Fabularny,śr. zaawansowani,121 opinii,Polska: 161. miejsce,NAN,NAN,NAN,NAN,Klimatyzowany,Możliwość płatności kartą,Od 16 lat,Nie dla kobiet w ciąży,Nieodpowiednie dla osób z klaustrofobią,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Klucz bezpieczeństwa,Oświetlenie awaryjne,Dostępny żel antybakteryjny,Dezynfekowane pokoje,NAN,NAN,NAN,NAN,NAN,NAN,NAN,angielski,polski,NAN,NAN
161,Magia i Miecz,Białystok,Unlocked - Escape Room,2-5 osób,60 minut,Fantasy,doświadczony,9 opinii,Polska: 162. miejsce,NAN,NAN,NAN,NAN,Przyjazny dzieciom,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Drzwi zawsze otwarte,Oświetlenie awaryjne,Tylko niskie napięcie w zasięgu gracza,Dostępny żel antybakteryjny,Dezynfekowane pokoje,NAN,NAN,NAN,NAN,NAN,NAN,polski,NAN,NAN,NAN
162,Cela nr 4,Warszawa,Wyjście Awaryjne,2-10 osób,60 minut,Kryminalny,śr. zaawansowani,285 opinii,Polska: 163. miejsce,NAN,NAN,NAN,NAN,Przyjazny dzieciom,Przyjazny zwierzętom,Gra bez aktora,Nie dla epileptyków,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Przycisk bezpieczeństwa,Oświetlenie awaryjne,Tylko niskie napięcie w zasięgu gracza,System awaryjnego otwierania drzwi,Dostępny żel antybakteryjny,Dostępne rekawiczki,Dezynfekowane pokoje,NAN,NAN,NAN,NAN,angielski,polski,NAN,NAN
163,Protokół C.H.I.M.E.R.A.,Kraków,Gamescape Kraków,2-6 osób,65 minut,Akcja,śr. zaawansowani,49 opinii,Polska: 164. miejsce,8 .9,"Obsługa:
9,8/10","Klimat:
9,1/10","Trudność wg. graczy:
Średni",Przyjazny dzieciom,Przyjazny zwierzętom,Klimatyzowany,Możliwość płatności kartą,Nie dla kobiet w ciąży,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Drzwi zawsze otwarte,Przycisk bezpieczeństwa,Oświetlenie awaryjne,Tylko niskie napięcie w zasięgu gracza,Dostępny żel antybakteryjny,Dostępne rekawiczki,Dezynfekowane pokoje,Ograniczony kontakt z innymi grupami,NAN,NAN,NAN,angielski,polski,NAN,NAN
164,Ostatni Egzorcyzm,Gdynia,WALKOUT,2-6 osób,60 minut,Thriller,śr. zaawansowani,14 opinii,Polska: 166. miejsce,NAN,NAN,NAN,NAN,Przyjazny niepełnosprawnym,Możliwość płatności kartą,Nie dla epileptyków,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Drzwi zawsze otwarte,Przycisk bezpieczeństwa,Oświetlenie awaryjne,Tylko niskie napięcie w zasięgu gracza,Dostępny żel antybakteryjny,Dostępne rekawiczki,Dezynfekowane pokoje,NAN,NAN,NAN,NAN,NAN,angielski,polski,NAN,NAN
165,The Moonshiner,Gdańsk,Zorkout Escape Rooms,2-6 osób,75 minut,Przygodowy,doświadczony,78 opinii,Polska: 165. miejsce,NAN,NAN,NAN,NAN,Klimatyzowany,Od 16 lat,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Klucz bezpieczeństwa,Przycisk bezpieczeństwa,Tylko niskie napięcie w zasięgu gracza,System awaryjnego otwierania drzwi,Dostępny żel antybakteryjny,Dostępne rekawiczki,Dezynfekowane pokoje,Ograniczony kontakt z innymi grupami,NAN,NAN,NAN,NAN,angielski,polski,NAN,NAN
166,Skazani na śmierć,Bydgoszcz,Fabryka Czasu,3-5 osób,60 minut,Thriller,śr. zaawansowani,137 opinii,Polska: 168. miejsce,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
167,Cela śmierci,Wrocław,Trapped,2-5 osób,60 minut,Kryminalny,śr. zaawansowani,108 opinii,Polska: 167. miejsce,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
168,Kryjówka Genialnego Wynalazcy,Chorzów,Strych,2-5 osób,60 minut,Fabularny,początkujący,165 opinii,Polska: 169. miejsce,NAN,NAN,NAN,NAN,polski,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
169,Krakowska Bestia,Kraków,Combinator Kraków,2-5 osób,60 minut,Historyczny,początkujący,438 opinii,Polska: 170. miejsce,NAN,NAN,NAN,NAN,Przyjazny dzieciom,Klimatyzowany,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Przycisk bezpieczeństwa,Tylko niskie napięcie w zasięgu gracza,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,angielski,polski,NAN,NAN
170,Rytuał - Historia prawdziwa,Sopot,Questrooms,2-5 osób,60 minut,Horror,śr. zaawansowani,209 opinii,Polska: 171. miejsce,NAN,NAN,NAN,NAN,Przyjazny zwierzętom,Klimatyzowany,Możliwość płatności kartą,Od 16 lat,Nie dla kobiet w ciąży,Nieodpowiednie dla osób z klaustrofobią,Półmrok w pokoju,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Klucz bezpieczeństwa,Przycisk bezpieczeństwa,Oświetlenie awaryjne,Tylko niskie napięcie w zasięgu gracza,System awaryjnego otwierania drzwi,Dostępny żel antybakteryjny,Dostępne rekawiczki,Dezynfekowane pokoje,NAN,NAN,NAN,angielski,polski,NAN,NAN
171,Midnight Killer MK II,Wrocław,Piwnica Quest,3-5 osób,70 minut,Thriller,doświadczony,191 opinii,Polska: 172. miejsce,9 .0,"Obsługa:
9/10","Klimat:
9,6/10","Trudność wg. graczy:
Trudny",Klimatyzowany,Od 18 lat,Nie dla kobiet w ciąży,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Drzwi zawsze otwarte,Klucz bezpieczeństwa,Przycisk bezpieczeństwa,System awaryjnego otwierania drzwi,Dostępny żel antybakteryjny,Dostępne rekawiczki,Dezynfekowane pokoje,NAN,NAN,NAN,NAN,angielski,polski,NAN,NAN
172,Statek Piratów,Kraków,Combinator Kraków,2-5 osób,60 minut,Przygodowy,doświadczony,388 opinii,Polska: 173. miejsce,NAN,NAN,NAN,NAN,Przyjazny dzieciom,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Przycisk bezpieczeństwa,Tylko niskie napięcie w zasięgu gracza,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,angielski,polski,NAN,NAN
173,Jaskinia Bazyliszka,Częstochowa,Dom Tajemnic,2-5 osób,60 minut,Przygodowy,śr. zaawansowani,6 opinii,Polska: 174. miejsce,9 .5,"Obsługa:
10/10","Klimat:
9,7/10","Trudność wg. graczy:
Trudny",Przyjazny dzieciom,Możliwość płatności kartą,Nieodpowiednie dla osób z klaustrofobią,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Drzwi zawsze otwarte,Oświetlenie awaryjne,Tylko niskie napięcie w zasięgu gracza,Dostępny żel antybakteryjny,Dostępne rekawiczki,Dezynfekowane pokoje,Ograniczony kontakt z innymi grupami,NAN,NAN,NAN,NAN,angielski,polski,NAN,NAN
174,Sekret Profesora Lipnitzkiego,Kraków,Lock House,2-5 osób,60 minut,Thriller,śr. zaawansowani,328 opinii,Polska: 175. miejsce,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
175,Wiedźmowa Księga,Poznań,Find a Way,2-5 osób,75 minut,Przygodowy,śr. zaawansowani,25 opinii,Polska: 176. miejsce,NAN,NAN,NAN,NAN,Przyjazny dzieciom,Możliwość płatności kartą,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Klucz bezpieczeństwa,Przycisk bezpieczeństwa,Tylko niskie napięcie w zasięgu gracza,System awaryjnego otwierania drzwi,Dostępny żel antybakteryjny,NAN,NAN,NAN,NAN,NAN,NAN,polski,NAN,NAN,NAN
176,Łódź Podwodna,Warszawa,Room Escape Warszawa,2-5 osób,60 minut,Przygodowy,śr. zaawansowani,119 opinii,Polska: 177. miejsce,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
177,Olimp,Poznań,Key To Be Free,2-6 osób,60 minut,Przygodowy,śr. zaawansowani,19 opinii,Polska: 178. miejsce,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
178,Tajemnica Strychu,Bydgoszcz,Fabryka Czasu,2-5 osób,60 minut,Thriller,śr. zaawansowani,309 opinii,Polska: 179. miejsce,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
179,Stranger Room,Wrocław,In&Out,2-5 osób,70 minut,Przygodowy,doświadczony,87 opinii,Polska: 180. miejsce,NAN,NAN,NAN,NAN,Nie dla kobiet w ciąży,Nieodpowiednie dla osób z klaustrofobią,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Drzwi zawsze otwarte,Klucz bezpieczeństwa,Tylko niskie napięcie w zasięgu gracza,Dostępny żel antybakteryjny,Dezynfekowane pokoje,Ograniczony kontakt z innymi grupami,NAN,NAN,NAN,NAN,NAN,polski,NAN,NAN,NAN
180,Krypta,Wrocław,Secret Room & Brain Code,2-6 osób,90 minut,Przygodowy,śr. zaawansowani,120 opinii,Polska: 181. miejsce,NAN,NAN,NAN,NAN,Klimatyzowany,Od 16 lat,Nie dla kobiet w ciąży,Nieodpowiednie dla osób z klaustrofobią,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Drzwi zawsze otwarte,Przycisk bezpieczeństwa,Tylko niskie napięcie w zasięgu gracza,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,polski,NAN,NAN,NAN
181,Indiana Jones i Święty Graal,Bytom,Escape Graal,2-5 osób,60 minut,Przygodowy,początkujący,66 opinii,Polska: 182. miejsce,NAN,NAN,NAN,NAN,Przyjazny dzieciom,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Drzwi zawsze otwarte,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,polski,NAN,NAN,NAN
182,Statek Piracki,Grudziądz,Find The Key,2-5 osób,60 minut,Przygodowy,śr. zaawansowani,96 opinii,Polska: 183. miejsce,NAN,NAN,NAN,NAN,Przyjazny dzieciom,Klimatyzowany,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Drzwi zawsze otwarte,Oświetlenie awaryjne,Tylko niskie napięcie w zasięgu gracza,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,polski,NAN,NAN,NAN
183,Operacja Byfyj,Rybnik,Open The Lock,2-5 osób,70 minut,Fabularny,doświadczony,49 opinii,Polska: 184. miejsce,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
184,Fabryka Czekolady,Chorzów,LOFTescape,2-4 osoby,60 minut,Fabularny,śr. zaawansowani,195 opinii,Polska: 185. miejsce,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
185,Sekretny Gabinet Zegarmistrza,Katowice,LOFTescape,2-3 osoby,60 minut,Fabularny,śr. zaawansowani,39 opinii,Polska: 186. miejsce,NAN,NAN,NAN,NAN,Przyjazny dzieciom,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Drzwi zawsze otwarte,Klucz bezpieczeństwa,Tylko niskie napięcie w zasięgu gracza,Dostępny żel antybakteryjny,Dezynfekowane pokoje,Ograniczony kontakt z innymi grupami,NAN,NAN,NAN,NAN,NAN,polski,NAN,NAN,NAN
186,Schron 2.0,Gdańsk,Podziemna pułapka,2-5 osób,60 minut,Fabularny,śr. zaawansowani,76 opinii,Polska: 187. miejsce,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
187,Pokój gangstera,Radomsko,Zagadkowo,2-5 osób,60 minut,Kryminalny,śr. zaawansowani,18 opinii,Polska: 188. miejsce,NAN,NAN,NAN,NAN,Możliwość płatności kartą,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Drzwi zawsze otwarte,Tylko niskie napięcie w zasięgu gracza,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,polski,NAN,NAN,NAN
188,Czarny Motylek,Wrocław,Fox O'clock,2-5 osób,60 minut,Thriller,śr. zaawansowani,323 opinie,Polska: 189. miejsce,NAN,NAN,NAN,NAN,Klimatyzowany,Od 16 lat,Nie dla kobiet w ciąży,Półmrok w pokoju,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Drzwi zawsze otwarte,Przycisk bezpieczeństwa,System awaryjnego otwierania drzwi,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,polski,NAN,NAN,NAN
189,Peron 9 i 3/4,Wrocław,Trap Jungle,2-4 osoby,90 minut,Fantasy,śr. zaawansowani,104 opinie,Polska: 190. miejsce,NAN,NAN,NAN,NAN,Gra bez aktora,Nie dla epileptyków,Nie dla kobiet w ciąży,Nieodpowiednie dla osób z klaustrofobią,Półmrok w pokoju,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Przycisk bezpieczeństwa,System awaryjnego otwierania drzwi,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,polski,NAN,NAN,NAN
190,Tajemnice Elfandiru,Legnica,LockER,2-5 osób,90 minut,Fantasy,śr. zaawansowani,25 opinii,Polska: 191. miejsce,NAN,NAN,NAN,NAN,Przyjazny dzieciom,Przyjazny zwierzętom,Możliwość płatności kartą,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Drzwi zawsze otwarte,Przycisk bezpieczeństwa,Tylko niskie napięcie w zasięgu gracza,System awaryjnego otwierania drzwi,Dostępny żel antybakteryjny,Dezynfekowane pokoje,NAN,NAN,NAN,NAN,NAN,polski,NAN,NAN,NAN
191,Nemo,Poznań,EXODUS,2-5 osób,60 minut,Dla dzieci,początkujący,10 opinii,Polska: 192. miejsce,NAN,NAN,NAN,NAN,Przyjazny dzieciom,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Drzwi zawsze otwarte,Dostępny żel antybakteryjny,Dostępne rekawiczki,Dezynfekowane pokoje,NAN,NAN,NAN,NAN,NAN,NAN,NAN,polski,NAN,NAN,NAN
